city,timestamp,temp,pressure,humidity
Canberra,2024-11-16 19:45:00,23.0,1017.0,57
Canberra,2024-11-17 19:45:00,19.2,1010.0,94
Canberra,2024-11-18 19:45:00,13.4,1016.0,48
Canberra,2024-11-19 19:45:00,15.2,1022.0,77
Canberra,2024-11-20 19:45:00,17.3,1023.0,77
Canberra,2024-11-21 19:45:00,21.0,1021.0,46
Canberra,2024-11-22 19:45:00,22.5,1019.0,41
Canberra,2024-11-23 19:45:00,23.2,1016.0,42
Canberra,2024-11-24 19:30:00,21.2,1015.0,57
Canberra,2024-11-25 19:45:00,22.1,1010.0,58
Canberra,2024-11-26 20:00:00,20.4,1010.0,60
Canberra,2024-11-27 19:45:00,21.1,1011.0,83
Canberra,2024-11-28 21:45:00,19.2,1018.0,73
Canberra,2024-11-29 21:30:00,19.1,1018.0,88
Canberra,2024-11-30 21:15:00,19.2,1008.0,100
Canberra,2024-12-01 21:45:00,19.0,1008.0,56
Canberra,2024-12-02 21:45:00,20.2,1009.0,60
Canberra,2024-12-03 21:45:00,18.4,1010.0,98
Canberra,2024-12-04 21:30:00,18.0,1020.0,77
Canberra,2024-12-05 21:30:00,19.7,1017.0,74
Canberra,2024-12-06 21:45:00,20.4,1017.0,100
Canberra,2024-12-07 21:30:00,22.3,1009.0,83
Canberra,2024-12-08 21:30:00,13.3,1015.0,73
Canberra,2024-12-09 21:45:00,12.0,1014.0,69
Canberra,2024-12-10 21:45:00,16.2,1013.0,82
Canberra,2024-12-11 21:45:00,14.2,1008.0,55
Canberra,2024-12-12 21:30:00,15.9,1008.0,68
Canberra,2024-12-13 22:00:00,14.3,1011.0,92
Canberra,2024-12-14 22:00:00,18.2,1011.0,73
Canberra,2024-12-15 21:30:00,18.1,1015.0,72
Canberra,2024-12-16 21:45:00,27.2,1010.0,48
Canberra,2024-12-17 21:15:00,16.2,1013.0,88
Canberra,2024-12-18 21:30:00,11.5,1020.0,77
Canberra,2024-12-19 21:30:00,12.9,1018.0,75
Canberra,2024-12-20 21:45:00,15.3,1010.0,65
Canberra,2024-12-21 21:45:00,14.7,1011.0,82
Canberra,2024-12-22 21:15:00,18.0,1002.0,24
Canberra,2024-12-23 21:45:00,12.9,1007.0,35
Canberra,2024-12-24 21:45:00,13.3,1015.0,71
Canberra,2024-12-25 21:15:00,16.0,1017.0,79
Canberra,2024-12-26 20:45:00,26.2,1005.0,28
Canberra,2024-12-27 21:45:00,14.3,1007.0,59
Canberra,2024-12-28 21:45:00,14.7,1011.0,32
Canberra,2024-12-29 21:15:00,17.1,1018.0,77
Canberra,2024-12-30 21:30:00,19.4,1013.0,49
Canberra,2024-12-31 21:30:00,19.4,1016.0,78
